,LONGITUD,LATITUD,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT,TOX_FIS_SUP_15_UT,SEMAFORO,GRUPO,Coordenadas
780,-99.35816,20.12629,2.22,33.88,28.0,230.0,230.0,68.3,1.0,1.0,1.0,Amarillo,LENTICO,POINT (-99.35816 20.12629)
781,-99.36493,20.1451,7.34,38.72,28.0,280.0,280.0,68.3,1.0,1.0,1.0,Amarillo,LENTICO,POINT (-99.36493 20.1451)
782,-99.3606,20.15304,4.14,38.72,28.0,430.0,430.0,68.3,1.0,1.0,1.0,Amarillo,LENTICO,POINT (-99.3606 20.15304)
783,-102.13606,17.96756,2.0,18.0,10.0,40.0,3.0,68.9,1.0,1.0,1.0,Verde,LOTICO,POINT (-102.13606 17.96756)
784,-102.1567,17.92445,2.63,27.01,10.96,2400.0,424.0,68.3,1.0,1.0,1.0,Verde,COSTERO,POINT (-102.1567 17.92445)
785,-102.17419,17.93068,2.63,27.01,10.0,2400.0,424.0,68.3,1.0,1.0,1.0,Verde,COSTERO,POINT (-102.17419 17.93068)
786,-102.18146,17.93168,2.63,27.01,14.6,2400.0,424.0,68.3,1.0,1.0,1.0,Verde,COSTERO,POINT (-102.18146 17.93168)
787,-102.18831,17.95416,2.0,10.0,10.0,346.0,110.0,53.7,1.0,1.0,1.0,Verde,COSTERO,POINT (-102.18831 17.95416)
788,-102.18921,17.94963,2.0,12.72,10.0,110.0,10.0,69.9,1.0,1.0,1.0,Verde,COSTERO,POINT (-102.18921 17.94963)
789,-102.17565,17.99201,2.0,10.0,10.0,1650.0,3.0,91.24,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-102.17565 17.99201)
790,-102.19268,17.91785,2.63,27.01,10.0,2400.0,424.0,68.3,1.0,1.0,1.0,Verde,COSTERO,POINT (-102.19268 17.91785)
791,-102.16199,17.92083,2.63,27.01,16.32,2400.0,424.0,68.3,1.0,1.0,1.0,Verde,COSTERO,POINT (-102.16199 17.92083)
792,-102.18741,17.94129,2.63,27.01,10.0,2400.0,424.0,68.3,1.0,1.0,1.0,Verde,COSTERO,POINT (-102.18741 17.94129)
793,-102.29307,17.96622,10.2,81.0,14.2,24196.0,496.0,68.3,1.0,1.0,1.0,Rojo,COSTERO,POINT (-102.29307 17.96622)
794,-102.35794,22.12123,2.0,23.63,10.0,20.0,10.0,68.3,1.0,1.0,1.0,Verde,LENTICO,POINT (-102.35794 22.12123)
795,-102.37846,22.1358,2.0,19.41,10.0,31.0,3.0,68.3,1.0,1.0,1.0,Amarillo,LENTICO,POINT (-102.37846 22.1358)
796,-102.41856,22.14165,2.0,29.54,10.0,63.0,3.0,68.3,1.0,1.0,1.0,Amarillo,LENTICO,POINT (-102.41856 22.14165)
797,-102.4263,22.15254,2.0,30.43,10.0,31.0,3.0,68.3,1.0,1.0,1.0,Verde,LENTICO,POINT (-102.4263 22.15254)
798,-102.44221,22.13077,2.0,37.83,10.0,75.0,20.0,68.3,1.0,1.0,1.0,Amarillo,LENTICO,POINT (-102.44221 22.13077)
799,-102.44423,22.14564,2.0,26.16,10.0,20.0,3.0,68.3,1.0,1.0,1.0,Amarillo,LENTICO,POINT (-102.44423 22.14564)
800,-102.45887,22.13645,2.0,27.01,10.0,41.0,3.0,68.3,1.0,1.0,1.0,Amarillo,LENTICO,POINT (-102.45887 22.13645)
801,-102.4653,22.18899,4.0,30.25,10.0,31.0,3.0,68.3,1.0,1.0,1.0,Amarillo,LENTICO,POINT (-102.4653 22.18899)
802,-102.29445,21.98063,407.0,818.5,197.0,2419600.0,2419600.0,10.0,2.475,1.0,1.0,Rojo,LOTICO,POINT (-102.29445 21.98063)
803,-102.28905,21.98524,59.0,107.5,55.5,241960.0,241960.0,24.6,1.0,1.0,1.0,Rojo,LOTICO,POINT (-102.28905 21.98524)
804,-102.26814,21.90766,48.0,152.85,56.6,325500.0,224700.0,68.3,1.0,1.0,1.0,Rojo,LENTICO,POINT (-102.26814 21.90766)
805,-102.25658,21.86921,23.6,62.0,21.7,1379.0,86.0,68.3,1.0,1.0,1.09,Rojo,LENTICO,POINT (-102.25658 21.86921)
806,-102.33361,21.84536,157.75,281.75,109.2,2419600.0,2419600.0,10.0,1.0,1.0,1.0,Rojo,LOTICO,POINT (-102.33361 21.84536)
807,-102.37381,21.77918,22.2,45.43,10.8,441.0,259.0,10.0,1.0,1.764,1.0,Rojo,LOTICO,POINT (-102.37381 21.77918)
808,-102.34201,22.14338,4.58,19.41,10.0,189.0,110.0,68.3,1.0,1.0,1.0,Amarillo,LENTICO,POINT (-102.34201 22.14338)
809,-102.37363,21.75618,30.3,39.75,31.7,24196.0,19863.0,86.2,1.0,1.0,1.0,Rojo,LOTICO,POINT (-102.37363 21.75618)
810,-102.40724,21.71666,46.0,77.5,239.8,36540.0,7760.0,75.0,1.0,1.0,1.0,Rojo,LOTICO,POINT (-102.40724 21.71666)
811,-102.36757,21.74109,29.7,49.93,33.9,24196.0,24196.0,38.4,1.0,1.0,1.0,Rojo,LOTICO,POINT (-102.36757 21.74109)
812,-102.36137,21.76688,36.7,73.68,32.4,15531.0,9804.0,99.2,1.0,1.0,1.0,Rojo,LOTICO,POINT (-102.36137 21.76688)
813,-102.77811,21.82335,2.0,24.59,10.0,11199.0,6488.0,68.3,1.0,1.0,1.0,Amarillo,LENTICO,POINT (-102.77811 21.82335)
814,-102.67545,21.99809,2.0,26.75,10.0,75.0,3.0,68.3,1.0,1.0,1.0,Verde,LENTICO,POINT (-102.67545 21.99809)
815,-102.65304,21.85799,2.0,53.33,14.05,2987.0,256.0,68.3,1.0,1.0,1.0,Rojo,LENTICO,POINT (-102.65304 21.85799)
